Utterance;Topic;Dialog act;Emotion
thats_good (that's good);thats_good;comment;x
isee_downer (i see);i_see;backchannel;x
there are always tradeoffs in life aren't there;trade_offs;q;no_emo
okay so how are you doing today;doing_today;q;no_emo
i'm ellie;self_intro;opening;x
what got you to seek help;seek_help;q;no_emo
yeah i'm sorry to hear that;sorry_hear;comment;x
could you have done anything to avoid it;avoid;q;no_emo
how easy is it for you to get a good night sleep;easy_good_sleep;q;no_emo
influence_positive (who's someone that's been a positive influence in your life);influence_positive;q;no_emo
sleep_affects (what are you like when you don't sleep well);sleep_affects;q;no_emo
wow (wow);wow;backchannel;x
good_hear (that's so good to hear);good_hear;comment;x
nice (nice);nice;comment;x
what do you do when you're annoyed;what_do_annoyed;q;emo
are you okay with this;ok_with_this;q;no_emo
great_thanks (i'm great thanks);great_thanks;comment;x
thats_great (that's great);great_thanks;comment;x
do_fun (what are some things you like to do for fun);do_for_fun;q;emo
how did serving in the military change you;military_change;q;no_emo
that_sucks (that sucks);that_sucks;comment;x
aw okay;ok;backchannel;x
what made you decide to do that;made_decision_do;q;x
what are some things that usually put you in a good mood;things_good_mood;q;emo
are you happy you did that;happy_did_that;q;emo
what's one of your most memorable experiences;memorable_exp;q;x
feelguilty (what's something you feel guilty about);feel_guilty;q;emo
have you ever served in the military;ever_served_military;q;no_emo
okay i think i've asked everything i need to thanks for sharing your thoughts with me;im_done;comment;x
why_enlist (why'd you decide to enlist in the military);why_enlist;q;no_emo
i don't judge i can't i'm a computer;don’t_judge;opening;x
mhm what are some things you don't really like about l_a;don’t_like_l_a;q;no_emo
what are some things you don't really like about l_a;like_l_a;q;no_emo
hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment think of me as a friend i don't judge i can't i'm a computer i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential;opening;opening;x
yeah that sounds really hard;sounds_hard;comment;x
why2 (why);why;q;no_emo
are you still working in that;still_doing_x;q;no_emo
too_hard (do you think that maybe you're being a little hard on yourself);too_hard;q;no_emo
Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed);sth_enjoyed;q;emo
how often do you go back to your hometown;back_hometown;q;no_emo
 what do you do to relax;do_to_relax;q;emo
and please feel free to tell me anything you answers are totally confidential;answer_confidential;opening;x
kids_elaborate (tell me about your kids);kids_elaborate;q;no_emo
how do you cope with them;cope_with;q;no_emo
oh;backchannel;backchannel;x
do you consider yourself an introvert;introvert;q;no_emo
study (what did you study at school);study_at_school;q;no_emo
situation_handled (tell me about a situation that you wish you had handled differently);situation_handled;q;no_emo
how have you been feeling lately;feel_lately;q;emo
is it uncomfortable for you to talk about this;uncomfy_talk_this;comment;x
so how are you doing today;how_doing_today;q;no_emo
think of me as a friend i don't judge i can't i'm a computer;don’t_judge;opening;x
hard_decisionB (tell me about the hardest decision you've ever had to make);hard_decision;q;no_emo
hmm;backchannel;backchannel;x
wild_laughter3 ((laughter));laughter;other;x
mad_makeyou (what are some things that make you really mad);make_you_mad;q;emo
why_LA (why did you move to l_a);why_la;q;no_emo
yeah there are always tradeoffs in life aren't there;trade_offs;q;no_emo
okay what's the best thing about being a parent;best_thing_parent;q;no_emo
tell_me_moreV2 (can you tell me more about that);tell_me_more;comment;x
have you ever been diagnosed with p_t_s_d;diagnosed_ptsd;q;no_emo
still_doing_X (are you still doing that);still_doing_x;q;no_emo
who's someone that's been a positive influence in  your life;positive_influence_life;q;no_emo
that's a long time;long_time;q;no_emo
yeah how hard is that;how_hard;q;no_emo
happy_didthat (are you happy you did that);happy_did_that;q;emo
can you tell me about that;tell_me_more;comment;x
disturbing_thoughts (do you have disturbing thoughts);disturbing_thoughts;q;emo
mhm how did you decide to do that;how_decide_do_that;q;no_emo
i see what you mean;i_see;backchannel;x
why'd you decide to enlist in the military;why_enlist;q;no_emo
